,Driver_ID,Gender,MMM-YY,Dateofjoining,City,Age,Education_Level,Income,Joining Designation,Grade,Total Business Value,Quarterly Rating,Churn_User,Current_date
19,8,0.0,10/01/20,19/09/20,C2,34.0,0.0,70656.0,3.0,3.0,0.0,1.0,0.0,10/01/20
20,8,0.0,11/01/20,19/09/20,C2,34.0,0.0,70656.0,3.0,3.0,0.0,1.0,1.0,11/01/20
21,11,1.0,12/01/20,12/07/20,C19,28.0,2.0,42172.0,1.0,1.0,0.0,1.0,0.0,12/01/20
22,12,0.0,07/01/19,29/06/19,C23,35.0,2.0,28116.0,1.0,1.0,500000.0,4.0,0.0,07/01/19
23,12,0.0,08/01/19,29/06/19,C23,35.0,2.0,28116.0,1.0,1.0,1707180.0,4.0,0.0,08/01/19
24,12,0.0,09/01/19,29/06/19,C23,35.0,2.0,28116.0,1.0,1.0,400000.0,4.0,0.0,09/01/19
25,12,0.0,10/01/19,29/06/19,C23,35.0,2.0,28116.0,1.0,1.0,0.0,1.0,0.0,10/01/19
26,12,0.0,11/01/19,29/06/19,C23,35.0,2.0,28116.0,1.0,1.0,0.0,1.0,0.0,11/01/19
27,12,0.0,12/01/19,29/06/19,C23,35.0,2.0,28116.0,1.0,1.0,0.0,1.0,1.0,12/01/19
28,13,0.0,01/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,250000.0,1.0,0.0,01/01/19
29,13,0.0,02/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,1719680.0,1.0,0.0,02/01/19
30,13,0.0,03/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,545240.0,1.0,0.0,03/01/19
31,13,0.0,04/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,250000.0,2.0,0.0,04/01/19
32,13,0.0,05/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,895510.0,2.0,0.0,05/01/19
33,13,0.0,06/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,0.0,2.0,0.0,06/01/19
34,13,0.0,07/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,350650.0,2.0,0.0,07/01/19
35,13,0.0,08/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,708360.0,2.0,0.0,08/01/19
36,13,0.0,09/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,1190290.0,2.0,0.0,09/01/19
37,13,0.0,10/01/19,28/05/15,C19,29.0,2.0,119227.0,1.0,4.0,0.0,1.0,0.0,10/01/19
38,13,0.0,11/01/19,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,200000.0,1.0,0.0,11/01/19
39,13,0.0,12/01/19,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,300000.0,1.0,0.0,12/01/19
40,13,0.0,01/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,151110.0,1.0,0.0,01/01/20
41,13,0.0,02/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,200000.0,1.0,0.0,02/01/20
42,13,0.0,03/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,1593590.0,1.0,0.0,03/01/20
43,13,0.0,04/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,0.0,1.0,0.0,04/01/20
44,13,0.0,05/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,400000.0,1.0,0.0,05/01/20
45,13,0.0,06/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,258610.0,1.0,0.0,06/01/20
46,13,0.0,07/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,150000.0,1.0,0.0,07/01/20
47,13,0.0,08/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,500000.0,1.0,0.0,08/01/20
48,13,0.0,09/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,200000.0,1.0,0.0,09/01/20
49,13,0.0,10/01/20,28/05/15,C19,30.0,2.0,119227.0,1.0,4.0,350000.0,1.0,0.0,10/01/20
50,13,0.0,11/01/20,28/05/15,C19,31.0,2.0,119227.0,1.0,4.0,0.0,1.0,1.0,11/01/20
51,14,1.0,10/01/20,16/10/20,C26,39.0,0.0,19734.0,3.0,3.0,0.0,1.0,0.0,10/01/20
52,14,1.0,11/01/20,16/10/20,C26,39.0,0.0,19734.0,3.0,3.0,0.0,1.0,0.0,11/01/20
53,14,1.0,12/01/20,16/10/20,C26,39.0,0.0,19734.0,3.0,3.0,0.0,1.0,0.0,12/01/20
54,16,1.0,01/01/19,30/11/18,C23,30.0,0.0,52963.0,2.0,2.0,346800.0,1.0,0.0,01/01/19
55,16,1.0,02/01/19,30/11/18,C23,30.0,0.0,52963.0,2.0,2.0,0.0,1.0,1.0,02/01/19
56,17,0.0,01/01/19,03/06/18,C20,42.0,2.0,51099.0,1.0,1.0,100000.0,2.0,0.0,01/01/19
57,17,0.0,02/01/19,03/06/18,C20,42.0,2.0,51099.0,1.0,1.0,0.0,2.0,0.0,02/01/19
58,17,0.0,03/01/19,03/06/18,C20,42.0,2.0,51099.0,1.0,1.0,674990.0,2.0,0.0,03/01/19
59,17,0.0,04/01/19,03/06/18,C20,42.0,2.0,51099.0,1.0,1.0,242650.0,1.0,0.0,04/01/19
60,17,0.0,05/01/19,03/06/18,C20,42.0,2.0,51099.0,1.0,1.0,0.0,1.0,0.0,05/01/19
61,17,0.0,06/01/19,03/06/18,C20,42.0,2.0,51099.0,1.0,1.0,0.0,1.0,0.0,06/01/19
62,17,0.0,07/01/19,03/06/18,C20,43.0,2.0,51099.0,1.0,1.0,0.0,1.0,1.0,07/01/19
63,18,1.0,01/01/19,01/09/19,C17,27.0,1.0,31631.0,1.0,1.0,0.0,1.0,0.0,01/01/19
64,18,1.0,02/01/19,01/09/19,C17,27.0,1.0,31631.0,1.0,1.0,0.0,1.0,0.0,02/01/19
65,18,1.0,03/01/19,01/09/19,C17,27.0,1.0,31631.0,1.0,1.0,0.0,1.0,0.0,03/01/19
66,18,1.0,04/01/19,01/09/19,C17,27.0,1.0,31631.0,1.0,1.0,0.0,1.0,0.0,04/01/19
67,18,1.0,05/01/19,01/09/19,C17,27.0,1.0,31631.0,1.0,1.0,0.0,1.0,1.0,05/01/19
68,20,1.0,10/01/19,25/10/19,C19,26.0,0.0,40342.0,3.0,3.0,0.0,1.0,0.0,10/01/19
69,20,1.0,11/01/19,25/10/19,C19,26.0,0.0,40342.0,3.0,3.0,0.0,1.0,0.0,11/01/19
70,20,1.0,12/01/19,25/10/19,C19,26.0,0.0,40342.0,3.0,3.0,0.0,1.0,0.0,12/01/19
71,20,1.0,01/01/20,25/10/19,C19,26.0,0.0,40342.0,3.0,3.0,0.0,1.0,0.0,01/01/20
72,20,1.0,02/01/20,25/10/19,C19,26.0,0.0,40342.0,3.0,3.0,0.0,1.0,0.0,02/01/20
73,20,1.0,03/01/20,25/10/19,C19,26.0,0.0,40342.0,3.0,3.0,0.0,1.0,1.0,03/01/20
74,21,1.0,01/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,948560.0,4.0,0.0,01/01/19
75,21,1.0,02/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,551740.0,4.0,0.0,02/01/19
76,21,1.0,03/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,3295370.0,4.0,0.0,03/01/19
77,21,1.0,04/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,0.0,2.0,0.0,04/01/19
78,21,1.0,05/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,116350.0,2.0,0.0,05/01/19
79,21,1.0,06/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,533260.0,2.0,0.0,06/01/19
80,21,1.0,07/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,150450.0,2.0,0.0,07/01/19
81,21,1.0,08/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,0.0,2.0,0.0,08/01/19
82,21,1.0,09/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,520980.0,2.0,0.0,09/01/19
83,21,1.0,10/01/19,05/12/18,C29,33.0,1.0,22755.0,1.0,1.0,150600.0,2.0,0.0,10/01/19
84,21,1.0,11/01/19,05/12/18,C29,34.0,1.0,22755.0,1.0,1.0,0.0,2.0,0.0,11/01/19
85,21,1.0,12/01/19,05/12/18,C29,34.0,1.0,22755.0,1.0,1.0,263690.0,2.0,0.0,12/01/19
86,21,1.0,01/01/20,05/12/18,C29,34.0,1.0,22755.0,1.0,1.0,150170.0,1.0,0.0,01/01/20
87,21,1.0,02/01/20,05/12/18,C29,34.0,1.0,22755.0,1.0,1.0,281380.0,1.0,1.0,02/01/20
88,22,0.0,01/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,216170.0,2.0,0.0,01/01/19
89,22,0.0,02/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,404600.0,2.0,0.0,02/01/19
90,22,0.0,03/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,819960.0,2.0,0.0,03/01/19
91,22,0.0,04/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,601680.0,4.0,0.0,04/01/19
92,22,0.0,05/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,635700.0,4.0,0.0,05/01/19
93,22,0.0,06/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,121590.0,4.0,0.0,06/01/19
94,22,0.0,07/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,653680.0,4.0,0.0,07/01/19
95,22,0.0,08/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,1120560.0,4.0,0.0,08/01/19
96,22,0.0,09/01/19,25/05/18,C10,40.0,2.0,31224.0,1.0,1.0,696920.0,4.0,0.0,09/01/19
97,22,0.0,10/01/19,25/05/18,C10,38.0,2.0,31224.0,1.0,1.0,200000.0,3.0,0.0,10/01/19
98,22,0.0,11/01/19,25/05/18,C10,41.0,2.0,31224.0,1.0,1.0,306410.0,3.0,0.0,11/01/19
99,22,0.0,12/01/19,25/05/18,C10,41.0,2.0,31224.0,1.0,1.0,499480.0,3.0,0.0,12/01/19
100,22,0.0,01/01/20,25/05/18,C10,41.0,2.0,31224.0,1.0,1.0,500510.0,2.0,0.0,01/01/20
101,22,0.0,02/01/20,25/05/18,C10,41.0,2.0,31224.0,1.0,1.0,658430.0,2.0,0.0,02/01/20
102,22,0.0,03/01/20,25/05/18,C10,41.0,2.0,31224.0,1.0,1.0,103800.0,2.0,0.0,03/01/20
103,22,0.0,04/01/20,25/05/18,C10,41.0,2.0,31224.0,1.0,1.0,0.0,1.0,1.0,04/01/20
104,24,0.0,01/01/19,25/05/18,C24,30.0,2.0,76308.0,1.0,2.0,106460.0,2.0,0.0,01/01/19
105,24,0.0,02/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,401310.0,2.0,0.0,02/01/19
106,24,0.0,03/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,1103240.0,2.0,0.0,03/01/19
107,24,0.0,04/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,312720.0,2.0,0.0,04/01/19
108,24,0.0,05/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,128730.0,2.0,0.0,05/01/19
109,24,0.0,06/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,97220.0,2.0,0.0,06/01/19
110,24,0.0,07/01/19,25/05/18,C24,40.333333333333336,2.0,76308.0,1.0,2.0,203240.0,3.0,0.0,07/01/19
111,24,0.0,08/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,639720.0,3.0,0.0,08/01/19
112,24,0.0,09/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,765920.0,3.0,0.0,09/01/19
113,24,0.0,10/01/19,25/05/18,C24,31.0,2.0,76308.0,1.0,2.0,343160.0,2.0,1.0,10/01/19
114,25,0.0,01/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,2552300.0,3.0,0.0,01/01/19
115,25,0.0,02/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,2143680.0,3.0,0.0,02/01/19
116,25,0.0,03/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,2925260.0,3.0,0.0,03/01/19
117,25,0.0,04/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,1030790.0,4.0,0.0,04/01/19
118,25,0.0,05/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,1833580.0,4.0,0.0,05/01/19
119,25,0.0,06/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,999610.0,4.0,0.0,06/01/19
120,25,0.0,07/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,1046670.0,4.0,0.0,07/01/19
121,25,0.0,08/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,677050.0,4.0,0.0,08/01/19
122,25,0.0,09/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,1934570.0,4.0,0.0,09/01/19
123,25,0.0,10/01/19,30/10/17,C24,29.0,1.0,102077.0,1.0,3.0,1297810.0,4.0,0.0,10/01/19
124,25,0.0,11/01/19,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,1474610.0,4.0,0.0,11/01/19
125,25,0.0,12/01/19,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,574040.0,4.0,0.0,12/01/19
126,25,0.0,01/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,2109420.0,4.0,0.0,01/01/20
127,25,0.0,02/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,2973000.0,4.0,0.0,02/01/20
128,25,0.0,03/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,3053510.0,4.0,0.0,03/01/20
129,25,0.0,04/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,-414250.0,3.0,0.0,04/01/20
130,25,0.0,05/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,350000.0,3.0,0.0,05/01/20
131,25,0.0,06/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,1219340.0,3.0,0.0,06/01/20
132,25,0.0,07/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,650000.0,4.0,0.0,07/01/20
133,25,0.0,08/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,1512060.0,4.0,0.0,08/01/20
134,25,0.0,09/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,1368060.0,4.0,0.0,09/01/20
135,25,0.0,10/01/20,30/10/17,C24,30.0,1.0,102077.0,1.0,3.0,1346140.0,4.0,0.0,10/01/20
136,25,0.0,11/01/20,30/10/17,C24,31.0,1.0,102077.0,1.0,3.0,1680680.0,4.0,0.0,11/01/20
137,25,0.0,12/01/20,30/10/17,C24,31.0,1.0,102077.0,1.0,3.0,2013180.0,4.0,0.0,12/01/20
138,26,0.0,01/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,243110.0,4.0,0.0,01/01/19
139,26,0.0,02/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,646330.0,4.0,0.0,02/01/19
140,26,0.0,03/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,17651940.0,4.0,0.0,03/01/19
141,26,0.0,04/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,242510.0,4.0,0.0,04/01/19
142,26,0.0,05/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,1098080.0,4.0,0.0,05/01/19
143,26,0.0,06/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,1212720.0,4.0,0.0,06/01/19
144,26,0.0,07/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,2695910.0,4.0,0.0,07/01/19
145,26,0.0,08/01/19,05/07/18,C14,41.0,2.0,121529.0,1.0,3.0,494710.0,4.0,0.0,08/01/19
146,26,0.0,09/01/19,05/07/18,C14,42.0,2.0,121529.0,1.0,3.0,986540.0,4.0,0.0,09/01/19
147,26,0.0,10/01/19,05/07/18,C14,42.0,2.0,121529.0,1.0,3.0,9950710.0,4.0,0.0,10/01/19
148,26,0.0,11/01/19,05/07/18,C14,42.0,2.0,121529.0,1.0,3.0,13097320.0,4.0,0.0,11/01/19
149,26,0.0,12/01/19,05/07/18,C14,42.0,2.0,121529.0,1.0,3.0,1086370.0,4.0,0.0,12/01/19
150,26,0.0,01/01/20,05/07/18,C14,42.0,2.0,121529.0,1.0,3.0,732410.0,2.0,0.0,01/01/20
151,26,0.0,02/01/20,05/07/18,C14,42.0,2.0,121529.0,1.0,3.0,1511840.0,2.0,0.0,02/01/20
152,26,0.0,03/01/20,05/07/18,C14,42.0,2.0,132577.0,1.0,4.0,9226690.0,4.0,0.0,03/01/20
153,26,0.0,04/01/20,05/07/18,C14,42.0,2.0,132577.0,1.0,4.0,1940050.0,2.0,0.0,04/01/20
154,26,0.0,05/01/20,05/07/18,C14,42.0,2.0,132577.0,1.0,4.0,970030.0,2.0,0.0,05/01/20
155,26,0.0,06/01/20,05/07/18,C14,42.0,2.0,132577.0,1.0,4.0,0.0,2.0,0.0,06/01/20
156,26,0.0,07/01/20,05/07/18,C14,42.0,2.0,132577.0,1.0,4.0,153590.0,2.0,0.0,07/01/20
157,26,0.0,08/01/20,05/07/18,C14,42.0,2.0,132577.0,1.0,4.0,1710410.0,2.0,0.0,08/01/20
158,26,0.0,09/01/20,05/07/18,C14,43.0,2.0,132577.0,1.0,4.0,440550.0,2.0,0.0,09/01/20
159,26,0.0,10/01/20,05/07/18,C14,43.0,2.0,132577.0,1.0,4.0,744590.0,2.0,0.0,10/01/20
160,26,0.0,11/01/20,05/07/18,C14,43.0,2.0,132577.0,1.0,4.0,1578270.0,2.0,0.0,11/01/20
161,26,0.0,12/01/20,05/07/18,C14,43.0,2.0,132577.0,1.0,4.0,1453220.0,2.0,0.0,12/01/20
162,29,0.0,01/01/19,20/05/18,C13,30.0,2.0,30312.0,1.0,1.0,231840.0,2.0,0.0,01/01/19
163,29,0.0,02/01/19,20/05/18,C13,30.0,2.0,30312.0,1.0,1.0,278930.0,2.0,0.0,02/01/19
164,29,0.0,03/01/19,20/05/18,C13,30.0,2.0,30312.0,1.0,1.0,650990.0,2.0,0.0,03/01/19
165,29,0.0,04/01/19,20/05/18,C13,30.0,2.0,30312.0,1.0,1.0,111410.0,1.0,0.0,04/01/19
166,29,0.0,05/01/19,20/05/18,C13,30.0,2.0,30312.0,1.0,1.0,0.0,1.0,1.0,05/01/19
167,30,0.0,10/01/19,10/03/19,C6,31.0,1.0,69457.0,3.0,3.0,0.0,1.0,0.0,10/01/19
168,30,0.0,11/01/19,10/03/19,C6,31.0,1.0,69457.0,3.0,3.0,0.0,1.0,0.0,11/01/19
169,30,0.0,12/01/19,10/03/19,C6,31.0,1.0,69457.0,3.0,3.0,0.0,1.0,1.0,12/01/19
170,31,1.0,07/01/20,07/04/20,C28,32.0,2.0,65189.0,3.0,3.0,0.0,1.0,0.0,07/01/20
171,31,1.0,08/01/20,07/04/20,C28,32.0,2.0,65189.0,3.0,3.0,0.0,1.0,0.0,08/01/20
172,31,1.0,09/01/20,07/04/20,C28,32.0,2.0,65189.0,3.0,3.0,0.0,1.0,0.0,09/01/20
173,31,1.0,10/01/20,07/04/20,C28,32.0,2.0,65189.0,3.0,3.0,0.0,2.0,0.0,10/01/20
174,31,1.0,11/01/20,07/04/20,C28,32.0,2.0,65189.0,3.0,3.0,0.0,2.0,0.0,11/01/20
175,31,1.0,12/01/20,07/04/20,C28,32.0,2.0,65189.0,3.0,3.0,950940.0,2.0,0.0,12/01/20
176,34,1.0,08/01/20,31/07/20,C14,28.0,1.0,65813.0,2.0,2.0,285830.0,2.0,0.0,08/01/20
177,34,1.0,09/01/20,31/07/20,C14,28.0,1.0,65813.0,2.0,2.0,190180.0,2.0,0.0,09/01/20
178,34,1.0,10/01/20,31/07/20,C14,28.0,1.0,65813.0,2.0,2.0,0.0,1.0,0.0,10/01/20
179,34,1.0,11/01/20,31/07/20,C14,28.0,1.0,65813.0,2.0,2.0,0.0,1.0,1.0,11/01/20
180,35,0.0,03/01/20,03/07/20,C5,32.0,1.0,68070.0,3.0,3.0,300000.0,1.0,0.0,03/01/20
181,35,0.0,04/01/20,03/07/20,C5,32.0,1.0,68070.0,3.0,3.0,0.0,1.0,0.0,04/01/20
182,35,0.0,05/01/20,03/07/20,C5,32.0,1.0,68070.0,3.0,3.0,0.0,1.0,1.0,05/01/20
183,36,1.0,07/01/19,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,0.0,2.0,0.0,07/01/19
184,36,1.0,08/01/19,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,0.0,2.0,0.0,08/01/19
185,36,1.0,09/01/19,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,722390.0,2.0,0.0,09/01/19
186,36,1.0,10/01/19,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,821020.0,2.0,0.0,10/01/19
187,36,1.0,11/01/19,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,-19350.0,2.0,0.0,11/01/19
188,36,1.0,12/01/19,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,145400.0,2.0,0.0,12/01/19
189,36,1.0,01/01/20,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,0.0,1.0,0.0,01/01/20
190,36,1.0,02/01/20,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,400000.0,1.0,0.0,02/01/20
191,36,1.0,03/01/20,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,-50000.0,1.0,0.0,03/01/20
192,36,1.0,04/01/20,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,1460000.0,3.0,0.0,04/01/20
193,36,1.0,05/01/20,07/01/19,C18,40.0,1.0,32865.0,2.0,2.0,0.0,3.0,0.0,05/01/20
194,36,1.0,06/01/20,07/01/19,C18,41.0,1.0,32865.0,2.0,2.0,139080.0,3.0,0.0,06/01/20
195,36,1.0,07/01/20,07/01/19,C18,41.0,1.0,32865.0,2.0,2.0,984330.0,2.0,0.0,07/01/20
196,36,1.0,08/01/20,07/01/19,C18,41.0,1.0,32865.0,2.0,2.0,-325140.0,2.0,1.0,08/01/20
197,37,1.0,05/01/20,16/05/20,C14,33.0,1.0,57375.0,2.0,2.0,0.0,1.0,0.0,05/01/20
198,37,1.0,06/01/20,16/05/20,C14,33.0,1.0,57375.0,2.0,2.0,300000.0,1.0,0.0,06/01/20
199,37,1.0,07/01/20,16/05/20,C14,33.0,1.0,57375.0,2.0,2.0,350020.0,1.0,0.0,07/01/20
200,37,1.0,08/01/20,16/05/20,C14,33.0,1.0,57375.0,2.0,2.0,0.0,1.0,0.0,08/01/20
201,37,1.0,09/01/20,16/05/20,C14,33.0,1.0,57375.0,2.0,2.0,0.0,1.0,0.0,09/01/20
202,37,1.0,10/01/20,16/05/20,C14,33.0,1.0,57375.0,2.0,2.0,0.0,1.0,1.0,10/01/20
203,38,0.0,12/01/19,12/06/19,C27,22.0,0.0,13427.0,1.0,1.0,0.0,1.0,0.0,12/01/19
204,38,0.0,01/01/20,12/06/19,C27,22.0,0.0,13427.0,1.0,1.0,0.0,1.0,0.0,01/01/20
205,38,0.0,02/01/20,12/06/19,C27,22.0,0.0,13427.0,1.0,1.0,155610.0,1.0,0.0,02/01/20
206,38,0.0,03/01/20,12/06/19,C27,22.0,0.0,13427.0,1.0,1.0,-155610.0,1.0,1.0,03/01/20
207,39,0.0,08/01/20,08/08/20,C26,32.0,0.0,72888.0,2.0,2.0,966340.0,3.0,0.0,08/01/20
208,39,0.0,09/01/20,08/08/20,C26,32.0,0.0,72888.0,2.0,2.0,554010.0,3.0,0.0,09/01/20
209,39,0.0,10/01/20,08/08/20,C26,32.0,0.0,72888.0,2.0,2.0,600440.0,2.0,0.0,10/01/20
210,39,0.0,11/01/20,08/08/20,C26,32.0,0.0,72888.0,2.0,2.0,150470.0,2.0,0.0,11/01/20
211,39,0.0,12/01/20,08/08/20,C26,32.0,0.0,72888.0,2.0,2.0,150970.0,2.0,0.0,12/01/20
212,40,0.0,11/01/19,11/08/19,C15,32.0,0.0,59182.0,2.0,2.0,0.0,1.0,0.0,11/01/19
213,40,0.0,12/01/19,11/08/19,C15,32.0,0.0,59182.0,2.0,2.0,0.0,1.0,0.0,12/01/19
214,40,0.0,01/01/20,11/08/19,C15,32.0,0.0,59182.0,2.0,2.0,0.0,1.0,0.0,01/01/20
215,40,0.0,02/01/20,11/08/19,C15,32.0,0.0,59182.0,2.0,2.0,0.0,1.0,1.0,02/01/20
216,41,0.0,07/01/19,07/04/19,C29,33.0,2.0,92372.0,4.0,4.0,0.0,1.0,0.0,07/01/19
217,41,0.0,08/01/19,07/04/19,C29,33.0,2.0,92372.0,4.0,4.0,0.0,1.0,0.0,08/01/19
218,41,0.0,09/01/19,07/04/19,C29,33.0,2.0,92372.0,4.0,4.0,1061060.0,1.0,0.0,09/01/19
219,41,0.0,10/01/19,07/04/19,C29,33.0,2.0,92372.0,4.0,4.0,1357440.0,3.0,0.0,10/01/19
