,Driver_ID,Gender,City,Education_Level,Joining Designation,Current_date,Total_Months_Worked,Max_Grade,Income_Total,Age_Max,Total_Business_Value,Quarterly_Rating_Mean,Churn_User
59,74,1.0,C5,2.0,2.0,10/01/20,6,2.0,355296.0,35.0,592270.0,1.0,1.0
60,75,1.0,C18,2.0,2.0,12/01/20,6,2.0,239304.0,25.0,2365930.0,2.0,1.0
61,77,0.0,C3,2.0,1.0,12/01/20,24,2.0,1534032.0,34.0,17959920.0,3.0,0.0
62,78,0.0,C21,0.0,2.0,12/01/20,24,4.0,2542704.0,37.0,43531510.0,2.625,0.0
63,79,0.0,C14,1.0,4.0,08/01/19,2,4.0,229296.0,32.0,0.0,1.0,1.0
64,80,1.0,C7,0.0,2.0,12/01/20,3,2.0,170061.0,29.0,153300.0,1.0,0.0
65,81,0.0,C9,2.0,1.0,10/01/19,10,2.0,771770.0,39.0,3133680.0,1.6,1.0
66,82,1.0,C24,1.0,3.0,08/01/20,5,3.0,445065.0,37.0,0.0,1.0,1.0
67,83,0.0,C23,2.0,3.0,12/01/19,10,3.0,1151590.0,34.0,750000.0,1.0,1.0
68,84,0.0,C16,0.0,1.0,12/01/19,15,1.0,389250.0,42.0,8688020.0,2.4,1.0
69,85,0.0,C22,2.0,1.0,12/01/20,3,1.0,148527.0,25.0,0.0,1.0,0.0
70,86,0.0,C2,2.0,1.0,01/01/19,1,1.0,49510.0,35.0,0.0,1.0,1.0
71,87,0.0,C6,1.0,3.0,12/01/20,16,3.0,1909456.0,37.0,36029220.0,3.25,0.0
72,88,1.0,C3,0.0,2.0,06/01/19,6,2.0,373788.0,45.0,3248870.0,2.0,1.0
73,89,0.0,C2,1.0,2.0,12/01/19,15,2.0,884655.0,28.0,6131430.0,2.0,1.0
74,90,0.0,C22,0.0,2.0,12/01/19,5,2.0,147040.0,33.0,543640.0,1.0,1.0
75,91,0.0,C21,0.0,2.0,12/01/19,5,2.0,113655.0,31.0,200000.0,1.0,1.0
76,93,0.0,C17,2.0,2.0,02/01/19,2,2.0,79054.0,30.0,1220120.0,2.0,1.0
77,95,1.0,C14,2.0,3.0,03/01/20,2,3.0,121748.0,29.0,0.0,1.0,1.0
78,96,0.0,C12,2.0,3.0,11/01/20,5,3.0,324765.0,35.0,0.0,1.0,1.0
79,97,1.0,C2,2.0,3.0,12/01/20,3,3.0,242313.0,40.0,350000.0,1.0,0.0
80,98,0.0,C16,0.0,2.0,12/01/20,17,3.0,1003000.0,25.0,21415440.0,3.0,1.0
81,99,0.0,C23,0.0,2.0,08/01/20,6,2.0,228408.0,30.0,0.0,1.0,1.0
82,101,0.0,C10,0.0,1.0,05/01/19,5,1.0,194725.0,33.0,1759840.0,1.6,1.0
83,102,1.0,C12,0.0,1.0,03/01/19,3,1.0,126810.0,22.0,0.0,1.0,1.0
84,103,1.0,C28,1.0,2.0,12/01/19,8,2.0,551304.0,39.333333333333336,544380.0,1.0,1.0
85,104,1.0,C23,1.0,2.0,12/01/20,5,2.0,301660.0,30.0,1252320.0,1.6,0.0
86,105,0.0,C4,0.0,1.0,01/01/19,1,1.0,67931.0,38.0,0.0,1.0,1.0
87,106,1.0,C22,0.0,1.0,08/01/19,8,3.0,461368.0,34.0,4504880.0,2.0,1.0
88,107,0.0,C9,2.0,3.0,12/01/19,12,3.0,1225704.0,35.0,4545450.0,1.75,1.0
89,108,0.0,C22,2.0,3.0,06/01/20,6,3.0,727554.0,38.0,864350.0,1.0,1.0
90,109,1.0,C6,0.0,1.0,12/01/20,9,1.0,305343.0,36.0,1927920.0,1.6666666666666667,0.0
91,110,1.0,C16,1.0,1.0,12/01/19,6,1.0,195978.0,32.0,251810.0,1.0,1.0
92,111,0.0,C13,1.0,2.0,09/01/19,9,3.0,663921.0,52.0,2167840.0,1.0,1.0
93,112,0.0,C29,1.0,1.0,12/01/20,24,1.0,1211184.0,46.0,13121470.0,2.875,0.0
94,113,1.0,C10,0.0,1.0,10/01/19,5,1.0,235800.0,42.0,670440.0,1.6,1.0
95,114,1.0,C19,0.0,3.0,12/01/20,3,3.0,268368.0,32.0,0.0,1.0,0.0
96,115,0.0,C1,1.0,1.0,12/01/20,24,3.0,762048.0,46.0,12674940.0,2.125,0.0
97,116,0.0,C11,0.0,1.0,09/01/19,8,1.0,131816.0,22.0,987400.0,1.375,1.0
98,117,1.0,C1,1.0,1.0,12/01/20,24,5.0,3479472.0,47.0,40152720.0,2.5,0.0
99,118,1.0,C27,0.0,3.0,09/01/20,7,3.0,475328.0,42.0,150700.0,1.0,1.0
100,119,1.0,C29,1.0,3.0,12/01/19,4,3.0,284000.0,32.0,557720.0,1.0,1.0
101,120,0.0,C14,2.0,3.0,12/01/19,7,3.0,799806.0,27.0,0.0,1.0,1.0
102,121,1.0,C13,2.0,3.0,05/01/20,3,3.0,176655.0,33.0,0.0,1.0,1.0
103,122,0.0,C26,0.0,2.0,12/01/20,5,2.0,287030.0,27.0,605760.0,1.6,0.0
104,123,0.0,C24,1.0,1.0,09/01/19,9,1.0,372609.0,44.0,2184160.0,1.6666666666666667,1.0
105,125,1.0,C10,2.0,1.0,07/01/19,7,1.0,215929.0,33.0,1221780.0,1.4285714285714286,1.0
106,127,0.0,C28,1.0,3.0,03/01/19,3,3.0,252255.0,33.0,-70000.0,1.0,1.0
107,129,1.0,C6,1.0,2.0,12/01/20,6,2.0,364248.0,38.0,436190.0,1.0,0.0
108,130,0.0,C28,1.0,2.0,08/01/20,8,2.0,319920.0,38.0,2928710.0,1.375,1.0
109,131,1.0,C19,1.0,2.0,11/01/19,11,3.0,869946.0,38.0,2620360.0,1.2727272727272727,1.0
110,132,0.0,C20,2.0,2.0,07/01/20,3,2.0,129495.0,27.0,0.0,1.0,1.0
111,133,1.0,C23,2.0,1.0,05/01/19,5,1.0,234290.0,44.0,873110.0,1.6,1.0
112,134,0.0,C27,0.0,3.0,12/01/20,3,3.0,230712.0,32.0,190550.0,1.0,0.0
113,135,0.0,C22,0.0,3.0,12/01/20,4,3.0,395508.0,28.0,1517680.0,1.75,0.0
114,136,1.0,C10,0.0,1.0,01/01/19,1,1.0,47009.0,37.0,0.0,1.0,1.0
115,137,0.0,C28,0.0,2.0,12/01/20,7,2.0,234213.0,42.0,6570070.0,3.142857142857143,0.0
116,138,0.0,C21,2.0,1.0,01/01/19,1,1.0,34827.0,48.0,0.0,1.0,1.0
117,139,0.0,C14,1.0,2.0,12/01/19,2,2.0,103700.0,32.0,0.0,1.0,1.0
118,140,0.0,C9,1.0,1.0,12/01/20,24,2.0,1734072.0,38.0,13939940.0,2.625,0.0
119,141,0.0,C22,1.0,2.0,11/01/20,5,2.0,329505.0,35.0,0.0,1.0,1.0
120,142,0.0,C16,1.0,1.0,02/01/19,2,1.0,59614.0,24.0,122040.0,1.0,1.0
121,143,0.0,C12,2.0,1.0,03/01/19,3,1.0,72450.0,40.0,340560.0,1.0,1.0
122,144,0.0,C28,2.0,1.0,11/01/19,4,1.0,87732.0,27.0,0.0,1.0,1.0
123,145,0.0,C13,1.0,3.0,06/01/20,5,3.0,375560.0,35.0,1847280.0,2.2,1.0
124,147,0.0,C9,1.0,2.0,10/01/19,4,2.0,340688.0,36.0,0.0,1.0,1.0
125,148,0.0,C15,0.0,2.0,12/01/20,1,2.0,45288.0,41.0,0.0,1.0,0.0
126,149,1.0,C20,0.0,3.0,07/01/20,4,3.0,247652.0,34.0,0.0,1.0,1.0
127,150,0.0,C17,0.0,1.0,12/01/20,24,3.0,696312.0,39.0,24273480.0,3.0,0.0
128,151,0.0,C15,0.0,4.0,12/01/19,5,4.0,448010.0,30.0,950170.0,1.0,1.0
129,152,0.0,C17,0.0,1.0,06/01/19,6,2.0,189282.0,31.0,1419720.0,1.5,1.0
130,153,1.0,C22,1.0,5.0,11/01/19,11,5.0,1634468.0,38.0,1472800.0,1.2727272727272727,1.0
131,154,0.0,C21,1.0,1.0,10/01/20,4,1.0,188844.0,30.0,0.0,1.0,1.0
132,155,0.0,C26,1.0,2.0,02/01/19,2,3.0,236726.0,27.0,1602380.0,2.0,1.0
133,156,1.0,C9,1.0,1.0,03/01/19,3,1.0,123138.0,41.0,0.0,1.0,1.0
134,158,0.0,C22,1.0,1.0,09/01/20,3,1.0,137496.0,26.0,0.0,1.0,1.0
135,159,1.0,C4,1.0,1.0,12/01/19,14,1.0,421694.0,44.0,6278140.0,2.2857142857142856,1.0
136,161,0.0,C25,2.0,1.0,04/01/19,4,1.0,143172.0,38.0,0.0,1.0,1.0
137,162,0.0,C2,1.0,3.0,11/01/19,2,3.0,200128.0,36.0,0.0,1.0,1.0
138,163,0.0,C6,0.0,1.0,09/01/20,5,1.0,128655.0,29.0,0.0,1.0,1.0
139,164,1.0,C26,0.0,1.0,12/01/19,18,4.0,1911078.0,37.0,10395250.0,1.5,1.0
140,165,1.0,C21,2.0,2.0,01/01/19,1,2.0,76307.0,25.0,0.0,1.0,1.0
141,167,0.0,C18,1.0,1.0,05/01/19,5,1.0,176415.0,29.0,1154620.0,1.6,1.0
142,168,0.0,C15,2.0,2.0,12/01/20,15,2.0,495855.0,26.0,12087570.0,3.2,0.0
143,169,0.0,C14,2.0,2.0,12/01/19,12,2.0,460908.0,34.0,5239360.0,2.5,1.0
144,170,0.0,C7,2.0,3.0,11/01/19,5,3.0,457290.0,35.0,1987680.0,1.6,1.0
145,171,1.0,C23,1.0,2.0,07/01/19,7,2.0,393694.0,44.0,3466180.0,1.8571428571428572,1.0
146,172,1.0,C6,2.0,2.0,07/01/19,7,3.0,709765.0,41.0,5365850.0,2.7142857142857144,1.0
147,173,0.0,C28,0.0,1.0,12/01/20,24,3.0,1348176.0,39.0,19866290.0,2.75,0.0
148,174,1.0,C21,1.0,1.0,05/01/19,5,1.0,110325.0,39.0,2970500.0,2.2,1.0
149,175,0.0,C13,0.0,1.0,05/01/19,5,1.0,139445.0,31.0,19580.0,1.0,1.0
150,176,0.0,C15,0.0,1.0,08/01/20,4,1.0,85104.0,34.0,0.0,1.0,1.0
151,177,0.0,C4,1.0,1.0,06/01/19,6,1.0,258318.0,31.0,600000.0,1.0,1.0
152,178,1.0,C7,0.0,2.0,09/01/19,9,2.0,329733.0,23.0,550000.0,1.0,1.0
153,179,1.0,C11,2.0,1.0,05/01/19,5,1.0,122450.0,36.333333333333336,1616780.0,1.6,1.0
154,180,0.0,C29,1.0,2.0,11/01/19,11,4.0,1052634.0,34.0,0.0,1.0,1.0
155,181,1.0,C17,2.0,3.0,12/01/20,2,3.0,53852.0,30.0,0.0,1.0,0.0
156,182,0.0,C22,2.0,1.0,07/01/20,7,1.0,180824.0,32.0,866320.0,1.4285714285714286,1.0
157,183,1.0,C23,2.0,1.0,12/01/19,7,1.0,302841.0,26.0,903800.0,1.0,1.0
158,184,1.0,C21,2.0,2.0,07/01/20,4,2.0,248796.0,34.0,903160.0,1.75,1.0
159,185,0.0,C1,0.0,1.0,08/01/19,8,3.0,656960.0,29.0,2416570.0,1.375,1.0
160,187,0.0,C26,1.0,2.0,12/01/19,5,2.0,104610.0,34.0,151600.0,1.0,1.0
161,188,0.0,C12,0.0,2.0,12/01/20,14,2.0,510762.0,34.0,2516690.0,1.2142857142857142,0.0
162,190,1.0,C1,0.0,4.0,11/01/19,11,4.0,1188561.0,36.0,121980.0,1.0,1.0
163,191,1.0,C11,2.0,3.0,12/01/20,13,3.0,823940.0,27.0,10666090.0,2.6153846153846154,0.0
164,192,1.0,C9,1.0,3.0,12/01/20,9,3.0,602568.0,37.0,2412240.0,1.3333333333333333,0.0
165,193,0.0,C26,2.0,1.0,12/01/19,14,2.0,827176.0,47.0,9983020.0,2.7142857142857144,1.0
166,194,0.0,C8,0.0,2.0,10/01/20,4,2.0,216296.0,30.0,2000000.0,2.5,1.0
167,195,0.0,C18,0.0,1.0,12/01/20,3,1.0,58257.0,27.0,0.0,1.0,1.0
168,196,0.0,C14,1.0,3.0,12/01/20,7,3.0,525007.0,44.0,1150720.0,1.4285714285714286,1.0
169,197,0.0,C25,1.0,2.0,09/01/19,9,3.0,851346.0,41.0,1985150.0,1.0,1.0
170,199,0.0,C14,0.0,1.0,12/01/20,24,3.0,2109648.0,30.0,31533700.0,3.25,0.0
171,200,0.0,C8,1.0,3.0,12/01/19,7,3.0,466949.0,46.0,0.0,1.0,1.0
172,201,1.0,C5,0.0,3.0,09/01/19,4,3.0,169040.0,38.0,0.0,1.0,1.0
173,202,0.0,C28,0.0,1.0,12/01/20,2,1.0,57842.0,33.0,593300.0,2.0,0.0
174,203,1.0,C4,2.0,3.0,12/01/19,17,3.0,1440121.0,34.0,2816440.0,1.3529411764705883,1.0
175,204,1.0,C14,0.0,1.0,04/01/19,4,2.0,272604.0,33.0,337230.0,1.0,1.0
176,205,0.0,C12,0.0,1.0,12/01/20,1,1.0,15826.0,39.0,0.0,1.0,0.0
177,206,1.0,C10,0.0,1.0,12/01/20,3,1.0,38904.0,26.0,0.0,1.0,0.0
178,207,0.0,C29,0.0,3.0,04/01/19,4,3.0,247576.0,32.0,3209720.0,1.75,1.0
179,208,0.0,C16,2.0,1.0,05/01/19,5,1.0,158285.0,31.0,376780.0,1.0,1.0
180,210,0.0,C29,2.0,3.0,12/01/20,8,3.0,516664.0,38.0,802540.0,1.0,0.0
181,211,1.0,C6,2.0,3.0,08/01/20,3,3.0,245190.0,34.0,0.0,1.0,1.0
182,213,0.0,C24,0.0,2.0,12/01/20,24,2.0,1438728.0,37.0,12182590.0,2.25,0.0
183,215,1.0,C15,1.0,1.0,12/01/19,11,1.0,190377.0,26.0,1742410.0,1.5454545454545454,1.0
184,216,0.0,C20,1.0,2.0,12/01/19,13,2.0,1122420.0,30.0,7020890.0,2.3846153846153846,1.0
185,217,0.0,C10,1.0,1.0,06/01/19,6,2.0,163968.0,32.0,5854230.0,2.5,1.0
186,218,0.0,C21,0.0,1.0,12/01/20,5,1.0,139895.0,25.0,734620.0,1.6,0.0
187,219,0.0,C5,0.0,2.0,11/01/19,11,2.0,568227.0,36.0,2805350.0,1.2727272727272727,1.0
188,220,1.0,C18,1.0,2.0,10/01/19,10,3.0,1075390.0,38.0,2784450.0,1.3,1.0
189,221,0.0,C3,0.0,1.0,01/01/19,1,1.0,13051.0,31.0,0.0,1.0,1.0
190,222,0.0,C2,0.0,3.0,10/01/19,2,3.0,185506.0,26.0,0.0,1.0,1.0
191,223,0.0,C20,0.0,2.0,04/01/19,4,2.0,236432.0,25.0,1559910.0,1.75,1.0
192,225,1.0,C14,0.0,3.0,11/01/20,5,3.0,223960.0,32.0,1905250.0,1.8,0.0
193,226,1.0,C18,1.0,2.0,12/01/19,7,2.0,388696.0,36.0,1172300.0,1.0,1.0
194,227,1.0,C29,2.0,3.0,12/01/20,8,3.0,495296.0,45.0,7237950.0,2.625,1.0
195,228,0.0,C6,2.0,1.0,12/01/19,17,1.0,907545.0,45.0,10390120.0,3.1176470588235294,1.0
196,229,0.0,C28,0.0,4.0,12/01/19,9,4.0,944955.0,43.0,11947410.0,1.7777777777777777,1.0
197,230,0.0,C25,0.0,2.0,12/01/19,13,2.0,576667.0,34.0,5824480.0,2.3846153846153846,1.0
198,231,0.0,C5,1.0,1.0,01/01/19,1,1.0,21354.0,32.0,0.0,1.0,1.0
199,232,0.0,C15,2.0,1.0,01/01/19,1,1.0,23185.0,34.0,0.0,1.0,1.0
200,233,1.0,C27,1.0,3.0,12/01/20,6,3.0,834834.0,36.0,500000.0,1.0,0.0
201,234,1.0,C23,1.0,2.0,12/01/20,12,2.0,631392.0,27.0,2800740.0,1.5,0.0
202,235,1.0,C16,0.0,1.0,02/01/19,2,1.0,75746.0,39.0,0.0,1.0,1.0
203,237,0.0,C10,0.0,3.0,12/01/20,4,3.0,302504.0,33.0,181070.0,1.0,0.0
204,238,0.0,C20,0.0,2.0,06/01/20,6,2.0,241008.0,32.0,495310.0,1.0,1.0
205,241,0.0,C1,0.0,1.0,01/01/19,1,1.0,33901.0,24.0,0.0,1.0,1.0
206,242,0.0,C21,0.0,1.0,12/01/19,3,1.0,33708.0,28.0,0.0,1.0,1.0
207,243,0.0,C4,2.0,3.0,12/01/20,5,3.0,301140.0,26.0,483150.0,1.0,0.0
208,244,0.0,C20,2.0,1.0,10/01/19,10,2.0,373460.0,40.0,3095340.0,1.9,1.0
209,245,0.0,C23,2.0,2.0,12/01/20,4,2.0,311612.0,38.0,0.0,1.0,1.0
210,246,0.0,C10,1.0,1.0,09/01/19,9,2.0,577152.0,42.0,2278190.0,1.6666666666666667,1.0
211,247,1.0,C4,0.0,2.0,10/01/20,5,2.0,136470.0,39.0,619900.0,1.6,1.0
212,252,0.0,C24,2.0,1.0,12/01/20,24,3.0,1960800.0,37.0,28348090.0,2.875,0.0
213,256,0.0,C10,0.0,1.0,01/01/19,1,1.0,25172.0,21.0,0.0,1.0,1.0
214,257,0.0,C29,1.0,3.0,12/01/19,3,3.0,94965.0,30.0,150230.0,1.0,1.0
215,258,0.0,C13,0.0,1.0,12/01/20,8,1.0,203672.0,29.0,2658050.0,2.125,0.0
216,260,0.0,C24,1.0,1.0,12/01/19,3,1.0,143592.0,29.0,0.0,1.0,1.0
217,261,1.0,C20,2.0,3.0,12/01/19,16,3.0,1455808.0,42.0,7912770.0,1.9375,1.0
218,262,1.0,C2,1.0,2.0,07/01/19,7,2.0,174034.0,28.0,1200020.0,1.4285714285714286,1.0
219,263,0.0,C6,0.0,1.0,12/01/20,3,1.0,57510.0,24.0,289500.0,1.0,0.0
220,264,0.0,C11,2.0,1.0,12/01/20,1,1.0,49439.0,25.0,0.0,1.0,1.0
221,265,0.0,C3,1.0,1.0,12/01/20,7,1.0,282667.0,34.0,1706780.0,1.8571428571428572,0.0
222,266,0.0,C16,1.0,1.0,06/01/19,6,2.0,240612.0,43.0,2558650.0,1.5,1.0
223,267,0.0,C5,0.0,3.0,12/01/19,10,3.0,892000.0,36.0,3643890.0,1.4,1.0
224,268,1.0,C6,1.0,1.0,12/01/19,15,1.0,815280.0,31.0,4024340.0,2.0,1.0
225,270,0.0,C11,1.0,3.0,08/01/20,4,3.0,305344.0,36.0,260000.0,1.0,1.0
226,271,0.0,C29,2.0,4.0,12/01/20,7,4.0,941703.0,38.0,19169110.0,3.142857142857143,0.0
227,272,0.0,C5,1.0,2.0,12/01/20,19,2.0,1233119.0,37.0,8992830.0,2.263157894736842,0.0
228,273,0.0,C16,1.0,1.0,12/01/20,4,1.0,161036.0,29.0,461970.0,1.0,0.0
229,274,0.0,C7,1.0,2.0,12/01/20,1,2.0,53224.0,39.0,0.0,1.0,0.0
230,275,0.0,C20,0.0,1.0,12/01/20,24,4.0,2187588.0,41.0,33697790.0,2.875,0.0
231,276,1.0,C23,1.0,3.0,12/01/20,6,3.0,644970.0,30.0,965680.0,1.5,0.0
232,278,0.0,C2,0.0,1.0,03/01/19,3,1.0,156573.0,34.0,529010.0,1.0,1.0
233,279,1.0,C2,0.0,1.0,12/01/19,9,1.0,376200.0,29.0,2736130.0,1.8888888888888888,1.0
234,280,1.0,C6,2.0,4.0,12/01/19,14,4.0,1512182.0,34.0,6751230.0,1.4285714285714286,1.0
235,281,1.0,C20,1.0,3.0,12/01/20,3,3.0,235821.0,43.0,246810.0,1.0,0.0
236,282,1.0,C21,0.0,2.0,12/01/20,5,2.0,286695.0,29.0,0.0,1.0,1.0
237,283,1.0,C29,2.0,2.0,12/01/20,2,2.0,114840.0,27.0,0.0,1.0,0.0
238,284,0.0,C20,2.0,2.0,02/01/20,2,2.0,84378.0,34.0,0.0,1.0,1.0
239,286,1.0,C24,1.0,2.0,11/01/20,5,2.0,353905.0,30.0,150400.0,1.0,1.0
240,287,1.0,C7,0.0,1.0,09/01/20,4,1.0,54420.0,30.0,0.0,1.0,1.0
241,288,1.0,C17,0.0,2.0,12/01/20,1,2.0,62901.0,41.0,0.0,1.0,0.0
242,289,0.0,C3,0.0,2.0,12/01/20,6,2.0,306660.0,29.0,0.0,1.0,0.0
243,290,1.0,C5,1.0,1.0,11/01/19,5,1.0,334210.0,25.0,0.0,1.0,1.0
244,291,1.0,C20,2.0,2.0,05/01/19,5,2.0,248475.0,27.0,1273240.0,1.6,1.0
245,292,1.0,C29,2.0,3.0,08/01/20,2,3.0,163716.0,33.0,0.0,1.0,1.0
246,293,1.0,C11,1.0,1.0,03/01/19,3,1.0,137943.0,28.0,373410.0,1.0,1.0
247,294,0.0,C21,0.0,1.0,12/01/20,3,1.0,41379.0,36.0,153360.0,1.0,0.0
248,295,1.0,C8,0.0,2.0,06/01/19,6,2.0,215898.0,29.0,225690.0,1.0,1.0
249,296,1.0,C20,1.0,1.0,12/01/20,23,2.0,1497162.0,32.0,29755780.0,3.0434782608695654,0.0
250,297,0.0,C8,2.0,3.0,12/01/20,1,3.0,109473.0,38.0,0.0,1.0,0.0
251,298,0.0,C20,0.0,3.0,12/01/19,8,3.0,566024.0,39.0,1501770.0,1.0,1.0
252,299,1.0,C28,0.0,1.0,11/01/19,4,1.0,103404.0,36.0,0.0,1.0,1.0
253,303,0.0,C28,1.0,1.0,05/01/19,5,2.0,393225.0,42.0,0.0,1.0,1.0
254,305,0.0,C9,0.0,1.0,02/01/19,2,1.0,40352.0,24.0,0.0,1.0,1.0
